,station,date_only,hour,pollutant,error_type
796,londonrdaurn,2014/07/08,20,NO,negative
801,londonrdaurn,2014/07/08,21,NO,negative
803,londonrdaurn,2014/07/08,21,NO,negative
805,londonrdaurn,2014/07/08,21,NO,negative
810,londonrdaurn,2014/07/08,21,NO,negative
816,londonrdaurn,2014/07/08,22,NO,negative
819,londonrdaurn,2014/07/08,22,NO,negative
823,londonrdaurn,2014/07/08,22,NO,negative
829,londonrdaurn,2014/07/08,23,NO,negative
830,londonrdaurn,2014/07/08,23,NO,negative
834,londonrdaurn,2014/07/08,23,NO,negative
837,londonrdaurn,2014/07/08,23,NO,negative
840,londonrdaurn,2014/07/09,00,NO,negative
846,londonrdaurn,2014/07/09,00,NO,negative
848,londonrdaurn,2014/07/09,00,NO,negative
850,londonrdaurn,2014/07/09,00,NO,negative
857,londonrdaurn,2014/07/09,01,NO,negative
860,londonrdaurn,2014/07/09,01,NO,negative
863,londonrdaurn,2014/07/09,01,NO,negative
865,londonrdaurn,2014/07/09,01,NO,negative
871,londonrdaurn,2014/07/09,02,NO,negative
873,londonrdaurn,2014/07/09,02,NO,negative
877,londonrdaurn,2014/07/09,02,NO,negative
880,londonrdaurn,2014/07/09,02,NO,negative
882,londonrdaurn,2014/07/09,03,NO,negative
887,londonrdaurn,2014/07/09,03,NO,negative
890,londonrdaurn,2014/07/09,03,NO,negative
897,londonrdaurn,2014/07/09,04,NO,negative
922,londonrdaurn,2014/07/09,05,NO,negative
934,londonrdaurn,2014/07/09,06,NO,negative
937,londonrdaurn,2014/07/09,07,NO,negative
944,londonrdaurn,2014/07/09,07,NO,negative
946,londonrdaurn,2014/07/09,07,NO,negative
950,londonrdaurn,2014/07/09,07,NO,negative
951,londonrdaurn,2014/07/09,08,NO,negative
958,londonrdaurn,2014/07/09,08,NO,negative
960,londonrdaurn,2014/07/09,08,NO,negative
963,londonrdaurn,2014/07/09,08,NO,negative
965,londonrdaurn,2014/07/09,09,NO,negative
970,londonrdaurn,2014/07/09,09,NO,negative
975,londonrdaurn,2014/07/09,09,NO,negative
976,londonrdaurn,2014/07/09,09,NO,negative
981,londonrdaurn,2014/07/09,10,NO,negative
986,londonrdaurn,2014/07/09,10,NO,negative
991,londonrdaurn,2014/07/09,10,NO,negative
1001,londonrdaurn,2014/07/09,11,NO,negative
1012,londonrdaurn,2014/07/09,12,NO,negative
1016,londonrdaurn,2014/07/09,12,NO,negative
1019,londonrdaurn,2014/07/09,12,NO,negative
1022,londonrdaurn,2014/07/09,13,NO,negative
1026,londonrdaurn,2014/07/09,13,NO,negative
1030,londonrdaurn,2014/07/09,13,NO,negative
1032,londonrdaurn,2014/07/09,13,NO,negative
1035,londonrdaurn,2014/07/09,14,NO,negative
1040,londonrdaurn,2014/07/09,14,NO,negative
1044,londonrdaurn,2014/07/09,14,NO,negative
1047,londonrdaurn,2014/07/09,14,NO,negative
1049,londonrdaurn,2014/07/09,15,NO,negative
1056,londonrdaurn,2014/07/09,15,NO,negative
1057,londonrdaurn,2014/07/09,15,NO,negative
1060,londonrdaurn,2014/07/09,15,NO,negative
1065,londonrdaurn,2014/07/09,16,NO,negative
1068,londonrdaurn,2014/07/09,16,NO,negative
1071,londonrdaurn,2014/07/09,16,NO,negative
1076,londonrdaurn,2014/07/09,16,NO,negative
1081,londonrdaurn,2014/07/09,17,NO,negative
1082,londonrdaurn,2014/07/09,17,NO,negative
1085,londonrdaurn,2014/07/09,17,NO,negative
1089,londonrdaurn,2014/07/09,17,NO,negative
1092,londonrdaurn,2014/07/09,18,NO,negative
1096,londonrdaurn,2014/07/09,18,NO,negative
1101,londonrdaurn,2014/07/09,18,NO,negative
1104,londonrdaurn,2014/07/09,18,NO,negative
1105,londonrdaurn,2014/07/09,19,NO,negative
1111,londonrdaurn,2014/07/09,19,NO,negative
1113,londonrdaurn,2014/07/09,19,NO,negative
1116,londonrdaurn,2014/07/09,19,NO,negative
1125,londonrdaurn,2014/07/09,20,NO,negative
1132,londonrdaurn,2014/07/09,20,NO,negative
1133,londonrdaurn,2014/07/09,21,NO,negative
1139,londonrdaurn,2014/07/09,21,NO,negative
1143,londonrdaurn,2014/07/09,21,NO,negative
1144,londonrdaurn,2014/07/09,21,NO,negative
1148,londonrdaurn,2014/07/09,22,NO,negative
1154,londonrdaurn,2014/07/09,22,NO,negative
1157,londonrdaurn,2014/07/09,22,NO,negative
1159,londonrdaurn,2014/07/09,22,NO,negative
1165,londonrdaurn,2014/07/09,23,NO,negative
1167,londonrdaurn,2014/07/09,23,NO,negative
1169,londonrdaurn,2014/07/09,23,NO,negative
1173,londonrdaurn,2014/07/09,23,NO,negative
1179,londonrdaurn,2014/07/10,00,NO,negative
1181,londonrdaurn,2014/07/10,00,NO,negative
1185,londonrdaurn,2014/07/10,00,NO,negative
1188,londonrdaurn,2014/07/10,00,NO,negative
1193,londonrdaurn,2014/07/10,01,NO,negative
1196,londonrdaurn,2014/07/10,01,NO,negative
1199,londonrdaurn,2014/07/10,01,NO,negative
1201,londonrdaurn,2014/07/10,01,NO,negative
1207,londonrdaurn,2014/07/10,02,NO,negative
1209,londonrdaurn,2014/07/10,02,NO,negative
1211,londonrdaurn,2014/07/10,02,NO,negative
1214,londonrdaurn,2014/07/10,02,NO,negative
1217,londonrdaurn,2014/07/10,03,NO,negative
1281,londonrdaurn,2014/07/10,07,NO,negative
